Master Deer ID #	Luther Mother ID#	Sex (M/F)	Age Estimate (previous fall)	Tooth taken?	K Age	Date (mm/dd/yy)	County	CO Num	T	R	S	Conception Date (Julian Days)	Number of Fetuses	Sex #1	Sex #2	Sex #3	
003	IAF44	F	5.5	X	7.5	02/13/17	LUCAS	59	73N	23W	4		2	unk	unk	
004	IAF45	F	1.5		1.5	02/13/17	LUCAS	59	73N	23W	4	321	2	M	M	
005	IAF46	F	3.5	X	2.5	02/16/17	LUCAS	59	71N	21W	8	305	2	F	F	
007	IAF47	F	1.5		1.5	02/17/17	WAYNE	93	69N	22W	21	320	2	F	F	
018	IAF48	F	2.5		2.5	03/17/17	MARION	63	74N	18W	28	330	2	M	F	
021	IAF49	F	1.5		1.5	03/20/17	WARREN	91	76N	23W	7	325	2	M	F	
023	IAF50	F	2.5	X	3.5	03/22/17	LUCAS	59	71N	21W	30	314	2	F	F	
026	IAF51	F	1.5		1.5	03/23/17	RINGGOLD	80	70N	29W	17	310	2	M	F	
027	IAF52	F	2.5	X	2.5	03/24/17	LUCAS	59	71N	21W	6	309	2	F	F	
029	IAF53	F	1.5	X	1.5	03/26/17	MARION	63	76N	20W	36	306	2	F	F	
031	IAF54	F	4.5	X	6.5	03/28/17	MARION	63	75N	20W	25	322	3	F	F	M
033	IAF55	F	5.5	X	5.5	03/29/17	LUCAS	59	72N	20W	26	308	2	M	M	
034	IAF56	F	4.5	X	4.5	03/30/17	LUCAS	59	73N	23W	26	297	2	F	F	
035	IAF57	F	6.5	X	7.5	03/30/17	WARREN	91	75N	23W	28	324	2	M	M	
037	IAF58	F	2.5	X	2.5	04/03/17	WARREN	91	74N	23W	15	327	3	M	M	M
040	IAF59	F	4.5	X	3.5	04/05/17	MONROE	68	72N	17W	30	307	2	M	M	
042	IAF60	F	4.5	X	4.5	04/06/17	MADISON	61	75N	28W	14	303	2	F	M	
047	IAF61	F	3.5	X	3.5	4/10/17	APPANOOSE	4	70N	17W	16	311	3	F	F	M
048	IAF62	F	4.5	X	5.5	4/12/17	CLARKE	20	72N	24W	14	310	3	M	M	M
051	IAF63	F	2.5	X	2.5	4/17/17	LUCAS	59	72N	21W	26	310	2	F	M	
055	IAF64	F	1.5		1.5	4/20/17	LUCAS	59	72N	23W	17	315	2	M	F	
060	IAF65	F	3.5	X	3.5	5/1/17	WARREN	91	75N	24W	25	300	2	F	F	
062	IAF66	F	5.5	X	5.5	5/4/17	WAYNE	93	69N	21W	25	303	2	M	M	
068	IAF67	F	1.5	X	1.5	5/8/17	DECATUR	27	69N	27W	36	316	2	F	M	
069	IAF68	F	2.5	X	1.5	5/18/17	WARREN	91	75N	24W	13	316	2	F	M	
